maximize_value,long_ma_len,short_ma_len,std_dev_mult,maximize_value_std
0.09189780085802501,100.0,25.0,1.25,4.352037077029427e-05
0.09136986507523924,110.0,25.0,1.25,4.4151583187119755e-05
0.0872101320122418,120.0,25.0,1.25,4.5031756685982485e-05
0.08241729830173818,130.0,25.0,1.25,4.639010178149664e-05
0.07982046200045957,140.0,25.0,1.25,4.767322670389503e-05
0.06520370250216428,100.0,20.0,1.25,4.2675231070645176e-05
0.06486577250797926,110.0,25.0,1.0,4.100529539903662e-05
0.0648152505580611,110.0,20.0,1.25,4.2486603076948975e-05
0.06463048284926812,100.0,25.0,1.0,4.057962541030754e-05
0.06337951795277878,120.0,25.0,1.0,4.059950995344614e-05
0.06172316614817333,120.0,20.0,1.25,4.335334218333868e-05
0.06004672343984333,130.0,25.0,1.0,4.176541191479084e-05
0.058851024291130996,140.0,25.0,1.0,4.2245427841341686e-05
0.05846214981143874,130.0,20.0,1.25,4.444098223516253e-05
0.056710872246153045,140.0,20.0,1.25,4.5480720922207224e-05
0.04887813173627453,100.0,20.0,1.0,3.696540562653087e-05
0.04829758692042525,110.0,20.0,1.0,3.7226406377442594e-05
0.04687152084734434,120.0,20.0,1.0,3.746350760182561e-05
0.04403086761349749,130.0,20.0,1.0,3.905104194960635e-05
0.04376142509290359,140.0,20.0,1.0,3.9179718058324706e-05
0.03913218313048569,100.0,15.0,1.25,3.515377001621929e-05
0.03889368867905267,110.0,15.0,1.25,3.517376415505923e-05
0.037143181327436055,120.0,15.0,1.25,3.546942017890902e-05
0.03538755042134303,130.0,15.0,1.25,3.598253078674592e-05
0.03503842637593148,140.0,15.0,1.25,3.621822449074231e-05
0.030064468162295993,100.0,15.0,1.0,3.138255151533471e-05
0.02911351857816511,110.0,15.0,1.0,3.185330051670698e-05
0.02879918409970878,120.0,15.0,1.0,3.190485264816724e-05
0.02783535293281552,130.0,15.0,1.0,3.164115717299971e-05
0.02681321721458513,140.0,15.0,1.0,3.220109224586146e-05
0.0258499240819113,100.0,10.0,1.25,2.6441996599834826e-05
0.025545017534816274,110.0,10.0,1.25,2.6158575877658052e-05
0.025234367715081463,120.0,10.0,1.25,2.5919676364070366e-05
0.025004466088627483,130.0,10.0,1.25,2.577619621828375e-05
0.023777536708349364,140.0,10.0,1.25,2.594089335536322e-05
0.01772628492947311,120.0,10.0,1.0,2.384387119642442e-05
0.017546010495955312,100.0,10.0,1.0,2.4320232834979715e-05
0.017476592832195194,110.0,10.0,1.0,2.4110668786356344e-05
0.01722260702048392,140.0,10.0,1.0,2.3727608844526365e-05
0.017194094367307226,130.0,10.0,1.0,2.3759303439335447e-05
