maximize_value,long_ma_len,short_ma_len,std_dev_mult,pl_len_0,pl_len_1,pl_len_2,pl_perc_0,pl_perc_1,pl_perc_2,pl_test_min,pl_test_len,pl_test_mean_perc
0.34926128890351077,24000.0,95.0,2.5,153.0,145.0,150.0,0.20470284410640527,0.42204248112395093,0.4210385414801762,0.20645454046291442,145.0,0.20645454046291442
0.3385234902215464,38000.0,95.0,2.5,155.0,149.0,154.0,0.16974048095909153,0.4137493095577746,0.4320806801477731,0.09257613200119413,82.0,0.09257613200119413
0.33763401685071864,25000.0,95.0,2.5,153.0,150.0,151.0,0.18795881443089466,0.3979854015751634,0.426957834546098,0.09000960851045615,138.0,0.09000960851045615
0.33719835739582393,35000.0,95.0,2.5,154.0,151.0,152.0,0.1686929690873218,0.39602910805948716,0.44687299504066297,0.18119874942303388,93.0,0.18119874942303388
0.3351135494619058,36000.0,95.0,2.5,154.0,152.0,153.0,0.1686929690873218,0.40017133414243183,0.43647634515596395,0.10351448294479493,86.0,0.10351448294479493
0.33471637520910846,37000.0,95.0,2.5,155.0,150.0,153.0,0.16974048095909153,0.4039775554414514,0.4304310892267825,0.11619939810072505,83.0,0.11619939810072505
0.3290391840745614,40000.0,95.0,2.5,155.0,150.0,155.0,0.1708454773625723,0.4174173805820563,0.3988546942790556,0.009940014973913423,74.0,0.009940014973913423
0.32776286546909145,25000.0,90.0,2.5,159.0,154.0,159.0,0.225316412820888,0.31849396919493184,0.4394782143914547,0.07258732702569717,147.0,0.07258732702569717
0.3277432871445812,39000.0,95.0,2.5,155.0,149.0,155.0,0.16974048095909153,0.41463468619559635,0.3988546942790556,0.010559005605227783,79.0,0.010559005605227783
0.32773603904812104,24000.0,90.0,2.5,159.0,150.0,156.0,0.22330033592258838,0.33726911811802773,0.4226386631037471,0.18611065480186073,152.0,0.18611065480186073
0.3263110084436381,34000.0,95.0,2.5,153.0,148.0,148.0,0.16900926173768935,0.3756470407221587,0.43427672287106617,0.11971500630035332,91.0,0.11971500630035332
0.3246694866800518,42000.0,95.0,2.5,156.0,150.0,155.0,0.17223124494768677,0.42095051006361156,0.38082670502885707,0.04851396613255998,65.0,0.04851396613255998
0.32461702144862137,41000.0,95.0,2.5,155.0,150.0,155.0,0.1735390838653782,0.4194852754516288,0.38082670502885707,0.012925849152496593,70.0,0.012925849152496593
0.324344997321619,33000.0,95.0,2.5,153.0,148.0,147.0,0.16900926173768935,0.36495493966210796,0.4390707905650597,0.1916274990507742,95.0,0.1916274990507742
0.32172082670423935,35000.0,90.0,2.5,161.0,154.0,163.0,0.20189668216533713,0.33171273610130886,0.43155306184607206,0.12554555191603545,101.0,0.12554555191603545
0.3214767614734568,43000.0,95.0,2.5,156.0,150.0,155.0,0.1626530693279018,0.42095051006361156,0.38082670502885707,0.024989347452108963,61.0,0.024989347452108963
0.3209835160767595,38000.0,90.0,2.5,162.0,152.0,165.0,0.2025647750414843,0.342538703862282,0.41784706932651217,0.035840745763055404,87.0,0.035840745763055404
0.3206403906729613,27000.0,95.0,2.5,153.0,151.0,146.0,0.17043022830593052,0.3604666239401523,0.4310243197728011,0.054708440473735714,127.0,0.054708440473735714
0.3205287233831566,35000.0,85.0,2.5,168.0,160.0,174.0,0.20526294373254006,0.2905761665433896,0.46574705987354004,0.026166639579521162,107.0,0.026166639579521162
0.32033297516759657,44000.0,95.0,2.5,155.0,150.0,155.0,0.16199063136911085,0.42095051006361156,0.3780577840700674,-0.0719124065407372,54.0,-0.0719124065407372
0.31921381532639426,36000.0,90.0,2.5,161.0,155.0,164.0,0.20189668216533713,0.3332800179509324,0.42246474586291327,0.05057542537090804,93.0,0.05057542537090804
0.31915878402117626,47000.0,95.0,2.5,153.0,150.0,155.0,0.162429077392966,0.42095051006361156,0.3740967646069512,-0.3763265089185168,35.0,-0.3763265089185168
0.3189574259347289,45000.0,95.0,2.5,153.0,150.0,154.0,0.15860967731426023,0.42095051006361156,0.3773120904263149,-0.20867224399712675,47.0,-0.20867224399712675
0.3182580005329063,46000.0,95.0,2.5,153.0,150.0,155.0,0.162429077392966,0.42095051006361156,0.37139441414214136,-0.32299305157366587,41.0,-0.32299305157366587
0.3169998921251678,27000.0,90.0,2.5,160.0,155.0,155.0,0.20653113597045902,0.2954434942890786,0.44902504611596583,0.03769160937075827,137.0,0.03769160937075827
0.3169707169369242,36000.0,85.0,2.5,168.0,159.0,175.0,0.20526294373254006,0.29407491989776907,0.45157428718046344,-0.0606860705211377,98.0,-0.0606860705211377
0.3166144415181506,37000.0,90.0,2.5,162.0,153.0,164.0,0.2025647750414843,0.33064601333518434,0.4166325361777832,0.056745561926081864,88.0,0.056745561926081864
0.31479379967583626,32000.0,95.0,2.5,153.0,147.0,147.0,0.16900926173768935,0.35501612392101073,0.4203560133688086,0.31889178818665354,101.0,0.31889178818665354
0.3127590156086974,34000.0,90.0,2.5,160.0,152.0,159.0,0.20265202139665822,0.30883291302101484,0.426792112408419,0.09516628359237068,101.0,0.09516628359237068
0.3118005980587016,38000.0,85.0,2.5,169.0,156.0,176.0,0.20605595217364092,0.28272088463009193,0.44662495737237196,-0.04329936532861314,92.0,-0.04329936532861314
0.31172646139118226,33000.0,90.0,2.5,160.0,153.0,159.0,0.20265202139665822,0.29625222992473943,0.43627513285214903,0.1585524464260761,106.0,0.1585524464260761
0.3114604659299391,26000.0,95.0,2.5,153.0,151.0,144.0,0.1758032013427886,0.335293225233203,0.4232849712138256,0.06570075704802218,128.0,0.06570075704802218
0.3113666817405281,39000.0,90.0,2.5,162.0,152.0,166.0,0.2025647750414843,0.3443020975189732,0.38723317266112683,-0.08292068007625433,83.0,-0.08292068007625433
0.30916965083012743,25000.0,85.0,2.5,166.0,160.0,167.0,0.2373192409394513,0.24447785119761437,0.44571186035331656,0.08837856891815192,155.0,0.08837856891815192
0.3088472813173721,32000.0,90.0,2.5,160.0,151.0,159.0,0.20265202139665822,0.28907038088109205,0.43481944167436604,0.279910929673278,113.0,0.279910929673278
0.3086400067106896,37000.0,85.0,2.5,169.0,157.0,175.0,0.20605595217364092,0.2743209315135683,0.4455431364448595,-0.01747507644290351,93.0,-0.01747507644290351
0.30731248747337375,24000.0,85.0,2.5,165.0,157.0,166.0,0.23604523102596403,0.25979351696852904,0.42609871442562824,0.19057063526588858,162.0,0.19057063526588858
0.3066826055696869,34000.0,85.0,2.5,167.0,157.0,170.0,0.2063787652343422,0.2571135423208984,0.45655550915382004,-0.01307225786121122,107.0,-0.01307225786121122
0.30595056133778176,33000.0,85.0,2.5,167.0,158.0,170.0,0.2063787652343422,0.24070227389844873,0.47077064488055437,0.06089400487810777,112.0,0.06089400487810777
0.3045496722352325,40000.0,90.0,2.5,162.0,153.0,166.0,0.2025647750414843,0.34462897912245444,0.3664552625417587,-0.1360568234446254,78.0,-0.1360568234446254
0.30322254514511815,38000.0,95.0,2.25,178.0,164.0,172.0,0.1607093993815115,0.4693018106388937,0.2796564254149493,-0.04859911430434937,94.0,-0.04859911430434937
0.3031764272241982,32000.0,85.0,2.5,167.0,156.0,170.0,0.2063787652343422,0.2341565843015151,0.46899393213673723,0.18461242665545144,119.0,0.18461242665545144
0.3019540148627776,26000.0,90.0,2.5,160.0,155.0,155.0,0.21232535807415798,0.25459897409012433,0.43893771242405055,0.04169892673076284,140.0,0.04169892673076284
0.3014414672670273,42000.0,90.0,2.5,163.0,153.0,166.0,0.20413966544186735,0.34850047051081134,0.35168426584840323,-0.13792062692763774,69.0,-0.13792062692763774
0.30125241253283014,36000.0,95.0,2.25,177.0,167.0,171.0,0.1600848122302041,0.4617879269603138,0.2818844984079724,-0.04572647250206424,99.0,-0.04572647250206424
0.30116955684337715,41000.0,90.0,2.5,162.0,153.0,166.0,0.20518969837643514,0.34663470630529314,0.35168426584840323,-0.15004760421329966,74.0,-0.15004760421329966
0.3003538631820935,30000.0,95.0,2.5,153.0,153.0,148.0,0.165817898392419,0.35981168913492595,0.3754320020189357,-0.06780005961337748,113.0,-0.06780005961337748
0.30011281830023545,30000.0,90.0,2.5,160.0,157.0,158.0,0.20159225041960996,0.30140008475103996,0.3973461197300565,-0.10534103908382303,123.0,-0.10534103908382303
0.3000469623930589,44000.0,90.0,2.5,162.0,153.0,166.0,0.20178440256314678,0.34850047051081134,0.3498560141052185,-0.2827213674981563,57.0,-0.2827213674981563
