maximize_value,long_ma_len,short_ma_len,std_dev_mult,pl_len_0,pl_len_1,pl_len_2,pl_len_3,pl_perc_0,pl_perc_1,pl_perc_2,pl_perc_3
0.10438247112989493,180.0,95.0,2.75,182.0,109.0,126.0,183.0,0.10438247112989493,0.13272528932275374,0.16593232704984665,0.15139311480949863
0.0896630979353935,170.0,95.0,2.75,170.0,98.0,111.0,165.0,0.0896630979353935,0.12369701760753153,0.20264937606006556,0.14729332469138873
0.07924605463619655,200.0,95.0,2.75,220.0,139.0,159.0,218.0,0.08504695910472986,0.15775353195444608,0.07924605463619655,0.14904085875100476
0.056492323055396365,160.0,95.0,2.0,317.0,234.0,246.0,320.0,0.056492323055396365,0.093719688264104,0.11800346283989513,0.0594086049934145
0.04901658467789473,190.0,95.0,2.75,201.0,121.0,144.0,200.0,0.11317981726784354,0.15860710246801302,0.04901658467789473,0.1550995340464527
0.04694346045790192,170.0,95.0,2.5,208.0,143.0,148.0,218.0,0.11489195771893874,0.04694346045790192,0.1761944432085573,0.04987509431757375
0.04399286620343956,110.0,85.0,2.75,88.0,47.0,39.0,89.0,0.09204459258220367,0.13838372676782032,0.5232405128989523,0.04399286620343956
0.04333620603293464,170.0,85.0,2.75,231.0,150.0,163.0,226.0,0.04862895123989262,0.08343910700648052,0.06958948045427808,0.04333620603293464
0.04259527126309337,180.0,90.0,2.5,258.0,174.0,202.0,273.0,0.10385827020477233,0.08377116180477517,0.06003364801989505,0.04259527126309337
0.04164879775816646,180.0,85.0,2.75,245.0,159.0,184.0,247.0,0.08417726462722087,0.09528088230123694,0.04164879775816646,0.04170004102691568
0.04035100090415981,170.0,90.0,2.75,192.0,116.0,137.0,193.0,0.0719628960628334,0.094821452362686,0.04035100090415981,0.08856123722962393
0.03811048353980568,160.0,95.0,2.5,178.0,123.0,123.0,191.0,0.05240555700420636,0.03811048353980568,0.1745244033691902,0.10793613576445642
0.03690864138414356,160.0,90.0,2.75,165.0,103.0,113.0,168.0,0.03690864138414356,0.10549402159634778,0.10132728984220415,0.13815491101888205
0.03276503459718201,160.0,90.0,2.5,205.0,143.0,154.0,222.0,0.0646984527171976,0.03276503459718201,0.07957038758170357,0.0684302880441316
0.03185060983339,160.0,95.0,2.25,224.0,162.0,168.0,236.0,0.12205088528319172,0.03185060983339,0.20242757266988542,0.054989817366932474
