maximize_value,long_ma_len,short_ma_len,std_dev_mult,pl_len_0,pl_len_1,pl_len_2,pl_len_3,pl_perc_0,pl_perc_1,pl_perc_2,pl_perc_3,pl_test_min,pl_test_len,pl_test_mean_perc
0.1993149149397616,25000.0,95.0,2.75,136.0,142.0,117.0,139.0,0.14711955991516062,0.6750869421589051,-0.0547048688885686,0.029758026573549402,-0.013417080603511433,115.0,-0.013417080603511433
0.19811809932929117,24000.0,95.0,2.75,139.0,140.0,117.0,140.0,0.15961136589233232,0.6717282396323442,-0.0547048688885686,0.015837660681056857,-0.02676976584698712,121.0,-0.02676976584698712
0.1970143005401864,26000.0,95.0,2.75,139.0,142.0,117.0,141.0,0.13850556436828107,0.669812125400668,-0.0547048688885686,0.03444438128036513,0.019786153267755756,111.0,0.019786153267755756
0.18948527558739378,28000.0,95.0,2.75,139.0,142.0,117.0,140.0,0.12708381512544048,0.6754060799568162,-0.0547048688885686,0.010156076155886963,-0.08942742216845449,99.0,-0.08942742216845449
0.18532875116461434,29000.0,95.0,2.75,137.0,142.0,117.0,139.0,0.11583107377935747,0.6720311572023022,-0.0547048688885686,0.008157642565366276,-0.057529403126965244,94.0,-0.057529403126965244
0.18402299114894777,27000.0,95.0,2.75,139.0,142.0,117.0,141.0,0.13199739638347976,0.6754060799568162,-0.0547048688885686,-0.016606642855936292,-0.08584475951556927,107.0,-0.08584475951556927
0.17012832608835055,25000.0,95.0,2.25,177.0,186.0,161.0,197.0,0.046276298409688464,0.42981373350611407,0.018460995655968013,0.18596227678163163,0.11008744387161917,164.0,0.11008744387161917
0.16975371216159535,30000.0,95.0,2.75,138.0,141.0,117.0,138.0,0.060042542702585466,0.6688307321663828,-0.0547048688885686,0.004846442665981778,-0.03348951234421112,85.0,-0.03348951234421112
0.16952996744629048,24000.0,95.0,2.25,177.0,184.0,161.0,197.0,0.05212010482290941,0.4308877161459774,0.018460995655968013,0.17665105316030716,0.1092272634451204,171.0,0.1092272634451204
0.16306060208399956,26000.0,95.0,2.25,179.0,186.0,161.0,199.0,0.05022778425048405,0.41488460079664496,0.018460995655968013,0.16866902763290115,0.15503061666775605,158.0,0.15503061666775605
0.1603459482902974,29000.0,95.0,2.25,177.0,186.0,161.0,197.0,0.031205649782906308,0.4021954366553288,0.018460995655968013,0.18952171106698654,0.17278879555724644,135.0,0.17278879555724644
0.15807442581332865,24000.0,95.0,2.0,196.0,207.0,194.0,214.0,0.023839064304370685,0.36497612588850925,0.12134217683719702,0.12214033622323757,0.11065026171213678,187.0,0.11065026171213678
0.15803772407938782,28000.0,95.0,2.25,179.0,186.0,161.0,197.0,0.039463076811186035,0.4060122688426906,0.018460995655968013,0.16821455500770655,0.136661110435771,139.0,0.136661110435771
0.15716433664143226,27000.0,95.0,2.25,179.0,186.0,161.0,197.0,0.046104059033507054,0.4071109820133873,0.018460995655968013,0.15698130986286665,0.12591078218186066,149.0,0.12591078218186066
0.15677572839871537,25000.0,95.0,2.0,196.0,209.0,194.0,215.0,0.017749360124326905,0.3644188882304295,0.12134217683719702,0.12359248840290801,0.09490051058784355,181.0,0.09490051058784355
0.15579640546954626,26000.0,95.0,2.0,198.0,209.0,194.0,216.0,0.007829617164676303,0.3615402502197608,0.12134217683719702,0.13247357765655093,0.13907295136059733,174.0,0.13907295136059733
0.1525094622910056,30000.0,95.0,2.25,178.0,184.0,161.0,194.0,0.0011138709997146165,0.39958267218267124,0.018460995655968013,0.19088031032566843,0.22044638388149743,122.0,0.22044638388149743
0.15079668294294798,24000.0,90.0,2.25,184.0,194.0,175.0,200.0,0.01145976232944489,0.451431256263985,-0.0338585933010463,0.17415430647940836,0.11862964009910208,173.0,0.11862964009910208
