maximize_value,long_ma_len,short_ma_len,std_dev_mult,pl_len_0,pl_len_1,pl_len_2,pl_len_3,pl_len_4,pl_perc_0,pl_perc_1,pl_perc_2,pl_perc_3,pl_perc_4,pl_test_min,pl_test_len,pl_test_mean_perc
0.1610278455344353,24000.0,95.0,2.75,155.0,137.0,146.0,140.0,123.0,-0.10671257697108044,0.3527879935218084,0.4779298199247957,0.30649637297156285,-0.22536238177491,-0.35156526014118833,169.0,-0.35156526014118833
0.13989707216968558,29000.0,95.0,2.75,157.0,140.0,149.0,141.0,126.0,-0.07887402298579063,0.3661947757386984,0.49668964832047513,0.16333771808266503,-0.24786275830762008,-0.4775830140325905,152.0,-0.4775830140325905
0.13750867298609695,32000.0,95.0,2.75,155.0,140.0,149.0,141.0,126.0,-0.049185385393519715,0.37348455201396874,0.4959578052244246,0.10478217609386428,-0.23749578300825308,-0.5058926377899178,139.0,-0.5058926377899178
0.13688800820166477,35000.0,95.0,2.75,159.0,140.0,149.0,141.0,125.0,-0.027258558440505447,0.3665036962597002,0.4959578052244246,0.049941386895295994,-0.20070428893059158,-0.5389195769582932,121.0,-0.5389195769582932
0.13621927617691448,31000.0,95.0,2.75,156.0,140.0,149.0,141.0,126.0,-0.07866383764699234,0.3718350701765951,0.4959578052244246,0.13304373961301866,-0.24107639648247373,-0.46173710048267225,147.0,-0.46173710048267225
0.13601659504934757,30000.0,95.0,2.75,160.0,139.0,149.0,141.0,126.0,-0.06547728519946101,0.3677514185276722,0.4959578052244246,0.13304373961301866,-0.25119270291891654,-0.485760350836467,151.0,-0.485760350836467
0.13463734367525124,25000.0,95.0,2.75,155.0,140.0,146.0,141.0,123.0,-0.10671257697108044,0.3471764447187709,0.47930495852501737,0.19849211310932224,-0.24507422100577383,-0.3835298319403066,165.0,-0.3835298319403066
0.13358745440820846,34000.0,95.0,2.75,158.0,140.0,149.0,141.0,125.0,-0.03553986738850261,0.3665036962597002,0.4959578052244246,0.049941386895295994,-0.20892574894987587,-0.5046854971309781,126.0,-0.5046854971309781
0.13073982546582158,45000.0,95.0,2.75,163.0,142.0,149.0,141.0,125.0,-0.026366845609325253,0.37457925181285767,0.4959578052244246,-0.011638297892016241,-0.17883278620683288,-0.22448278167429078,86.0,-0.22448278167429078
0.13030413000771107,26000.0,95.0,2.75,155.0,140.0,146.0,141.0,125.0,-0.11085236554172202,0.36318131713137675,0.48119354763391947,0.16333771808266503,-0.24533956726768394,-0.4154935663011291,163.0,-0.4154935663011291
0.1296144786070879,33000.0,95.0,2.75,155.0,140.0,149.0,141.0,125.0,-0.044235659376780714,0.3599638618281933,0.4959578052244246,0.049941386895295994,-0.2135550015356938,-0.4796331949134929,131.0,-0.4796331949134929
0.1293389094943006,36000.0,95.0,2.75,161.0,140.0,149.0,141.0,125.0,-0.060694028943021366,0.3733344347841643,0.4959578052244246,0.030355268828917686,-0.19225893242298234,-0.5351455175284873,120.0,-0.5351455175284873
0.12915272044433831,37000.0,95.0,2.75,161.0,140.0,149.0,141.0,125.0,-0.07505112040898214,0.3733344347841643,0.4959578052244246,0.030355268828917686,-0.17883278620683288,-0.5374677460176679,116.0,-0.5374677460176679
0.12882402042883787,47000.0,95.0,2.75,162.0,144.0,149.0,140.0,125.0,-0.0362263203647966,0.39063504273729066,0.49191521413123757,-0.023371048152709368,-0.17883278620683288,-0.3649181468144801,81.0,-0.3649181468144801
0.1283437467618554,46000.0,95.0,2.75,161.0,142.0,149.0,141.0,125.0,-0.033707510522718934,0.38130167753547556,0.4932703941205203,-0.020313041117167262,-0.17883278620683288,-0.3286752410317217,81.0,-0.3286752410317217
0.12787960960757916,44000.0,95.0,2.75,162.0,141.0,149.0,141.0,125.0,-0.03408905052609014,0.3680003774384104,0.4959578052244246,-0.011638297892016241,-0.17883278620683288,-0.2893824654249079,91.0,-0.2893824654249079
0.12705811617916413,24000.0,95.0,2.5,172.0,157.0,171.0,167.0,147.0,-0.02888673278856767,0.28102327271043637,0.4496489789447745,0.1930293231054626,-0.2595242610762851,-0.25449065643762586,194.0,-0.25449065643762586
0.12694587310668792,38000.0,95.0,2.75,161.0,140.0,149.0,141.0,125.0,-0.08608535709723406,0.3733344347841643,0.4959578052244246,0.030355268828917686,-0.17883278620683288,-0.5645011313851298,113.0,-0.5645011313851298
0.1259310212222607,30000.0,95.0,2.5,175.0,159.0,174.0,168.0,149.0,0.014059144594820043,0.2878983016600507,0.4911862936145346,0.12476083587746954,-0.2882494696355715,-0.37615921463259305,172.0,-0.37615921463259305
0.12435312508617209,39000.0,95.0,2.75,161.0,140.0,149.0,141.0,125.0,-0.0990490971998133,0.3733344347841643,0.4959578052244246,0.030355268828917686,-0.17883278620683288,-0.5727719526375045,112.0,-0.5727719526375045
0.12407106473322937,43000.0,95.0,2.75,157.0,140.0,149.0,141.0,125.0,-0.057619537868031666,0.3608881956837215,0.4959578052244246,-3.835316713470319e-05,-0.17883278620683288,-0.24379627718188127,96.0,-0.24379627718188127
0.12360730593876026,40000.0,95.0,2.75,160.0,140.0,149.0,141.0,125.0,-0.0915411396069921,0.3799284836073018,0.4959578052244246,0.012524166675899825,-0.17883278620683288,-0.5179467031205799,109.0,-0.5179467031205799
0.1229876675212136,28000.0,95.0,2.75,150.0,140.0,150.0,141.0,126.0,-0.13954778042085475,0.35868696600095723,0.4759452568239995,0.16333771808266503,-0.2434838228806991,-0.4428358553410334,155.0,-0.4428358553410334
0.12262809660970064,29000.0,95.0,2.5,173.0,159.0,174.0,168.0,149.0,-0.0027465991150452196,0.2654351024567771,0.4916355985294019,0.1461129129162843,-0.2872965317389149,-0.3719245507169197,173.0,-0.3719245507169197
0.12221078684948669,27000.0,95.0,2.75,154.0,140.0,150.0,141.0,126.0,-0.12175195006933627,0.35110388573040524,0.4646047543924849,0.16333771808266503,-0.2462404738887855,-0.42980620127415464,160.0,-0.42980620127415464
0.12104556714394492,24000.0,50.0,2.5,305.0,284.0,291.0,296.0,298.0,-0.015207513447339014,0.1690842054064054,0.26297839230647874,0.1712472656761358,0.01712548577804371,0.07807471235135229,391.0,0.07807471235135229
0.11959226870782799,31000.0,95.0,2.5,171.0,159.0,174.0,168.0,149.0,0.018819833882129194,0.2853230512547994,0.4911862936145346,0.08316884781332515,-0.28053668302564827,-0.36303120359005947,167.0,-0.36303120359005947
0.11913979238472164,32000.0,95.0,2.5,170.0,158.0,174.0,168.0,149.0,0.038685450976690614,0.2762842413149214,0.4911862936145346,0.06290330581190459,-0.2733603297944432,-0.3966978671417605,158.0,-0.3966978671417605
0.1189061321368892,35000.0,95.0,2.5,172.0,158.0,174.0,168.0,148.0,0.049033488737542326,0.26933544127422276,0.4911862936145346,0.025054756351679888,-0.2400793192935335,-0.4383888030739782,136.0,-0.4383888030739782
0.1173952712765095,34000.0,95.0,2.5,173.0,158.0,174.0,168.0,148.0,0.05190135322711342,0.27000682862109665,0.4911862936145346,0.025054756351679888,-0.25117287543187705,-0.42073250099399867,143.0,-0.42073250099399867
0.11718329753685933,25000.0,95.0,2.5,172.0,160.0,171.0,168.0,148.0,-0.02888673278856767,0.2864933417567705,0.45739857950632584,0.1461129129162843,-0.27520161370651636,-0.28356409311834413,190.0,-0.28356409311834413
0.1144652131984752,41000.0,95.0,2.75,157.0,141.0,149.0,141.0,125.0,-0.1207902215463116,0.3760296216882305,0.4959578052244246,-3.835316713470319e-05,-0.17883278620683288,-0.3680499516094281,105.0,-0.3680499516094281
0.11419997784395111,42000.0,95.0,2.75,158.0,141.0,149.0,141.0,125.0,-0.11406147149173546,0.36797469486103396,0.4959578052244246,-3.835316713470319e-05,-0.17883278620683288,-0.187573573331988,101.0,-0.187573573331988
0.113736715828707,26000.0,95.0,2.5,172.0,160.0,172.0,168.0,149.0,-0.031843452789136056,0.27906165431811947,0.45683607453957853,0.1461129129162843,-0.28148360984131143,-0.33534328358363646,187.0,-0.33534328358363646
0.11317694829425813,33000.0,95.0,2.5,170.0,158.0,174.0,168.0,148.0,0.043439157503179025,0.2670772518230879,0.4911862936145346,0.025054756351679888,-0.26087271782119065,-0.4008740076291547,149.0,-0.4008740076291547
0.11259389956941628,24000.0,85.0,2.75,170.0,146.0,165.0,161.0,141.0,-0.13877068556566238,0.21885161323744368,0.4588732187617936,0.2071468857531488,-0.18313153433964224,-0.25914127513474394,188.0,-0.25914127513474394
0.11040952580193716,27000.0,95.0,2.5,171.0,160.0,175.0,168.0,151.0,-0.03728874572698323,0.2635649473321091,0.4535916539337261,0.1461129129162843,-0.27393313944545045,-0.3550610228715032,184.0,-0.3550610228715032
0.10955305901323716,24000.0,90.0,2.75,162.0,137.0,154.0,152.0,132.0,-0.19084329816798437,0.2485039000731797,0.4613944631933744,0.23019727230548623,-0.2014870423378702,-0.29225675652790023,179.0,-0.29225675652790023
0.10744691671710256,44000.0,95.0,2.5,177.0,159.0,174.0,168.0,148.0,0.014441234480150599,0.28257337702748153,0.4911862936145346,-0.010887002243120591,-0.2400793192935335,-0.26722374273548166,98.0,-0.26722374273548166
0.10730049668815327,28000.0,95.0,2.5,168.0,160.0,175.0,168.0,152.0,-0.045882787887009654,0.26544758806201674,0.4535916539337261,0.1461129129162843,-0.28276688358425117,-0.36313186547294324,180.0,-0.36313186547294324
0.10638698593122689,25000.0,50.0,2.5,305.0,286.0,291.0,297.0,295.0,-0.015207513447339014,0.17254186725396747,0.2644636771902791,0.11336234479673632,-0.0032254461375094594,0.06129280164172239,377.0,0.06129280164172239
0.10602934457399323,45000.0,95.0,2.5,178.0,160.0,174.0,168.0,148.0,0.012106852395127952,0.28493537547092174,0.4911862936145346,-0.018002479317084704,-0.2400793192935335,-0.05791019116031277,93.0,-0.05791019116031277
0.10507507935000193,36000.0,95.0,2.5,174.0,158.0,174.0,168.0,148.0,-0.010066856324897434,0.2737853192147106,0.4911862936145346,0.010549959539195491,-0.2400793192935335,-0.4481492037523639,135.0,-0.4481492037523639
0.10492642235178937,24000.0,50.0,2.25,360.0,323.0,350.0,332.0,361.0,-0.007814517435160756,0.1804396258622805,0.1636878149567238,0.17668896387499672,0.011630224500106676,0.06224045446442996,471.0,0.06224045446442996
0.10489190983750991,24000.0,80.0,2.75,175.0,150.0,172.0,171.0,151.0,-0.11891408037653137,0.14107707785059265,0.39106024304119164,0.14690099718480212,-0.03566468851250544,-0.1177018003617987,199.0,-0.1177018003617987
0.10390164347946636,46000.0,95.0,2.5,176.0,161.0,174.0,168.0,148.0,0.009273067220605283,0.28960179275319403,0.48936086990218214,-0.028648193185116275,-0.2400793192935335,-0.08920419858012849,88.0,-0.08920419858012849
0.10368072769656514,35000.0,85.0,2.75,171.0,150.0,168.0,162.0,144.0,-0.07094963753110765,0.19586722688904368,0.5082391536110388,0.05884334282782656,-0.1735964473139757,-0.4454188970998782,134.0,-0.4454188970998782
0.1028337078953756,24000.0,90.0,2.5,177.0,168.0,178.0,182.0,148.0,0.001168286990610861,0.19725448907657148,0.3926541811419819,0.21587534374128073,-0.29278376147356705,-0.2764510353182484,201.0,-0.2764510353182484
0.10249643035563301,32000.0,85.0,2.75,167.0,151.0,168.0,162.0,144.0,-0.09577412515980482,0.19785447385717134,0.5082391536110388,0.10835408534358588,-0.2061914358738261,-0.4501340477908583,153.0,-0.4501340477908583
0.1024812345263546,24000.0,95.0,2.25,193.0,191.0,190.0,189.0,169.0,0.018670438815307798,0.15456124933475876,0.30465522461771133,0.31273488009792405,-0.27821562023392904,-0.2160610482259026,225.0,-0.2160610482259026
0.10238457744594764,30000.0,85.0,2.75,171.0,148.0,168.0,162.0,144.0,-0.10422175193295796,0.21707752013850923,0.5082391536110388,0.10835408534358588,-0.21752611993043772,-0.4084774480507063,168.0,-0.4084774480507063
0.10226932029350552,47000.0,95.0,2.5,178.0,163.0,174.0,167.0,148.0,0.004195685152375731,0.298122898695469,0.48868383973302304,-0.0395765028198065,-0.2400793192935335,-0.1431027271183811,87.0,-0.1431027271183811
0.10170533615689419,35000.0,90.0,2.5,178.0,170.0,181.0,183.0,150.0,0.10496926212566682,0.17187952002112283,0.45931756810121577,0.05138616321601259,-0.27902583267954706,-0.4846523699326001,142.0,-0.4846523699326001
