maximize_value,long_ma_len,short_ma_len,std_dev_mult,pl_len_0,pl_len_1,pl_len_2,pl_len_3,pl_perc_0,pl_perc_1,pl_perc_2,pl_perc_3
0.16387686602285348,100.0,85.0,2.75,49.0,64.0,79.0,35.0,0.42384770499983154,0.17365106052102208,0.16387686602285348,0.20626146004164456
0.158492868663167,100.0,80.0,2.75,65.0,77.0,95.0,43.0,0.24145615685012356,0.16870937497585303,0.158492868663167,0.21923328094199823
0.15085774556842674,100.0,65.0,2.75,133.0,147.0,175.0,114.0,0.34906566241657994,0.1925560568957,0.15085774556842674,0.21679079545435634
0.1493391700680691,100.0,75.0,2.75,79.0,94.0,108.0,53.0,0.2964721429735605,0.25754551098295225,0.1493391700680691,0.17929659394472916
0.1459961367885157,190.0,95.0,2.5,201.0,238.0,250.0,173.0,0.5529051344805491,0.17326896298641015,0.1459961367885157,0.1490643961222511
0.14517566645198188,210.0,95.0,2.25,317.0,358.0,344.0,278.0,0.5526603839935524,0.15998971120532005,0.14517566645198188,0.17268338547903375
0.14169551358516463,190.0,90.0,2.5,223.0,268.0,280.0,198.0,0.509216349356569,0.14308104404021618,0.14169551358516463,0.14340057867531336
0.13920612166763988,220.0,95.0,2.5,248.0,303.0,297.0,228.0,0.6448953846210613,0.21836377412754215,0.13920612166763988,0.14935191822911112
0.1384223779537907,230.0,95.0,2.5,256.0,312.0,322.0,244.0,0.6545854074128186,0.2016853156234373,0.14047718755023952,0.1384223779537907
0.1369242730883452,220.0,95.0,2.25,332.0,383.0,362.0,301.0,0.5875906066369906,0.1760224254942738,0.1369242730883452,0.15256712973237646
0.13368655136921684,190.0,95.0,2.25,278.0,306.0,311.0,240.0,0.5112152926952332,0.13368655136921684,0.15846746431570605,0.1747047496129249
0.13292961166057782,100.0,75.0,2.5,103.0,120.0,132.0,76.0,0.2666498360264681,0.15778624028199462,0.13292961166057782,0.24410792208526805
0.13239689293984316,200.0,95.0,2.25,293.0,332.0,335.0,261.0,0.5251615039363635,0.1454790565006397,0.13239689293984316,0.1708080326505355
0.13237561234510442,230.0,95.0,2.25,341.0,393.0,385.0,323.0,0.5798576065812727,0.1751109272894327,0.13237561234510442,0.1683182280419974
0.13108371956880369,230.0,90.0,2.5,281.0,341.0,344.0,269.0,0.5555322201075279,0.16335601942561462,0.13108371956880369,0.1620884734496506
0.12895228955281346,290.0,95.0,2.25,421.0,451.0,461.0,389.0,0.5750314897308768,0.18105511570384702,0.12895228955281346,0.18590162344477673
0.12857850418455885,250.0,95.0,2.25,373.0,414.0,414.0,343.0,0.5671391592288414,0.19056252699536966,0.12857850418455885,0.16396040696026923
