size,stop_loss,take_profit,price,order_type,side,offset,candle_index,user_id
1.0,2.0,0.0,4237.481234099059,0.0,1.0,1.0,546.0,0.0
1.0,2.0,0.0,4281.056625000002,0.0,2.0,2.0,556.0,0.0
1.0,2.0,0.0,4496.413672508866,0.0,1.0,1.0,903.0,0.0
1.0,2.0,0.0,4460.91,0.0,1.0,1.0,907.0,0.0
2.0,2.0,0.0,4566.848749999996,0.0,2.0,2.0,908.0,0.0
1.0,2.0,0.0,4475.734955214689,0.0,1.0,1.0,908.0,0.0
1.0,2.0,0.0,4567.49,0.0,2.0,2.0,909.0,0.0
1.0,2.0,0.0,4468.789066523966,0.0,1.0,1.0,912.0,0.0
1.0,2.0,0.0,4562.308624999995,0.0,2.0,2.0,914.0,0.0
1.0,2.0,0.0,4681.639850589613,0.0,1.0,1.0,1173.0,0.0
1.0,2.0,0.0,4548.8263750000015,0.0,2.0,2.0,1248.0,0.0
1.0,2.0,0.0,4546.461019502958,0.0,1.0,1.0,1754.0,0.0
1.0,2.0,0.0,4330.667125000002,0.0,2.0,2.0,1818.0,0.0
1.0,2.0,0.0,3654.29498253453,0.0,2.0,1.0,2429.0,0.0
1.0,2.0,0.0,3708.4290159242278,0.0,2.0,1.0,2432.0,0.0
2.0,2.0,0.0,3737.589375000004,0.0,1.0,2.0,2509.0,0.0
1.0,2.0,0.0,3509.530083075565,0.0,1.0,1.0,2511.0,0.0
1.0,2.0,0.0,3726.889125000004,0.0,2.0,2.0,2524.0,0.0
1.0,2.0,0.0,3858.6166220021832,0.0,1.0,1.0,2778.0,0.0
1.0,2.0,0.0,3849.094345726533,0.0,1.0,1.0,2780.0,0.0
2.0,2.0,0.0,3978.393125000005,0.0,2.0,2.0,2796.0,0.0
1.0,2.0,0.0,3860.3658138139813,0.0,1.0,1.0,2837.0,0.0
1.0,2.0,0.0,3859.6777388261794,0.0,1.0,1.0,2839.0,0.0
1.0,2.0,0.0,3842.03,0.0,1.0,1.0,2840.0,0.0
1.0,2.0,0.0,3849.442059005271,0.0,1.0,1.0,2843.0,0.0
1.0,2.0,0.0,3836.4012911390532,0.0,1.0,1.0,2846.0,0.0
5.0,2.0,0.0,3917.3573750000055,0.0,2.0,2.0,2879.0,0.0
1.0,2.0,0.0,3665.501645536583,0.0,2.0,1.0,3158.0,0.0
1.0,2.0,0.0,3689.971667911799,0.0,2.0,1.0,3165.0,0.0
1.0,2.0,0.0,3694.745264368319,0.0,2.0,1.0,3166.0,0.0
1.0,2.0,0.0,3729.7445642937532,0.0,2.0,1.0,3174.0,0.0
