maximize_value,long_ma_len,short_ma_len,std_dev_mult,pl_len_0,pl_len_1,pl_len_2,pl_len_3,pl_perc_0,pl_perc_1,pl_perc_2,pl_perc_3,pl_perc_mean_test
0.1043824711298949,180.0,95.0,2.75,182.0,109.0,126.0,183.0,0.1043824711298949,0.1327252893227537,0.1659323270498466,0.1513931148094986,0.24488375009921334
0.0896630979353935,170.0,95.0,2.75,170.0,98.0,111.0,165.0,0.0896630979353935,0.1236970176075315,0.2026493760600655,0.1472933246913887,0.3221792070090348
0.0792460546361965,200.0,95.0,2.75,220.0,139.0,159.0,218.0,0.0850469591047298,0.157753531954446,0.0792460546361965,0.1490408587510047,0.21160655213267512
0.0564923230553963,160.0,95.0,2.0,317.0,234.0,246.0,320.0,0.0564923230553963,0.093719688264104,0.1180034628398951,0.0594086049934145,0.12371069837751163
0.0490165846778947,190.0,95.0,2.75,201.0,121.0,144.0,200.0,0.1131798172678435,0.158607102468013,0.0490165846778947,0.1550995340464527,0.21636943563894034
0.0469434604579019,170.0,95.0,2.5,208.0,143.0,148.0,218.0,0.1148919577189387,0.0469434604579019,0.1761944432085573,0.0498750943175737,0.25098540511371176
0.0439928662034395,110.0,85.0,2.75,88.0,47.0,39.0,89.0,0.0920445925822036,0.1383837267678203,0.5232405128989523,0.0439928662034395,0.20427841412532619
0.0433362060329346,170.0,85.0,2.75,231.0,150.0,163.0,226.0,0.0486289512398926,0.0834391070064805,0.069589480454278,0.0433362060329346,0.20588384147196248
0.0425952712630933,180.0,90.0,2.5,258.0,174.0,202.0,273.0,0.1038582702047723,0.0837711618047751,0.060033648019895,0.0425952712630933,0.11665394520613494
0.0416487977581664,180.0,85.0,2.75,245.0,159.0,184.0,247.0,0.0841772646272208,0.0952808823012369,0.0416487977581664,0.0417000410269156,0.16315771166099047
0.0403510009041598,170.0,90.0,2.75,192.0,116.0,137.0,193.0,0.0719628960628334,0.094821452362686,0.0403510009041598,0.0885612372296239,0.20703078467018377
0.0381104835398056,160.0,95.0,2.5,178.0,123.0,123.0,191.0,0.0524055570042063,0.0381104835398056,0.1745244033691902,0.1079361357644564,0.2323330595732996
0.0369086413841435,160.0,90.0,2.75,165.0,103.0,113.0,168.0,0.0369086413841435,0.1054940215963477,0.1013272898422041,0.138154911018882,0.14021960482652285
0.032765034597182,160.0,90.0,2.5,205.0,143.0,154.0,222.0,0.0646984527171976,0.032765034597182,0.0795703875817035,0.0684302880441316,0.10656077052233905
0.03185060983339,160.0,95.0,2.25,224.0,162.0,168.0,236.0,0.1220508852831917,0.03185060983339,0.2024275726698854,0.0549898173669324,0.16870016698150686
0.0297779027433467,170.0,90.0,2.5,238.0,164.0,178.0,252.0,0.0928069194611989,0.0539349292140275,0.0836755147394979,0.0297779027433467,0.1481551471007874
0.0296790279299153,150.0,95.0,2.0,276.0,190.0,197.0,284.0,0.0296790279299153,0.0311771724163719,0.1161494933033972,0.0520490985665579,0.14368827466248132
0.0250963816981121,160.0,95.0,2.75,145.0,87.0,92.0,142.0,0.0250963816981121,0.1512374551823242,0.2404663009838242,0.2041634685561256,0.3075033945716202
0.0240639321415262,200.0,95.0,2.5,271.0,192.0,204.0,274.0,0.1082926263977666,0.1334502526623743,0.0240639321415262,0.0300637462904159,0.17926069289014274
0.0231296561754898,110.0,85.0,2.25,146.0,85.0,76.0,134.0,0.0231296561754898,0.1048509747691036,0.2953255810354681,0.0266864001416337,0.1490775990645208
0.0230480769366227,120.0,95.0,2.0,163.0,88.0,85.0,148.0,0.0459450248961403,0.0513776361535931,0.1034471315954001,0.0230480769366227,0.10919008311126524
0.0229122912408894,150.0,90.0,2.75,145.0,87.0,91.0,149.0,0.0229122912408894,0.0681300071089488,0.1601071699954829,0.0718330300469532,0.12452041585498573
0.0225277872931287,110.0,90.0,2.0,158.0,88.0,91.0,142.0,0.0888769746291858,0.0710288365593789,0.2414246377414581,0.0225277872931287,0.10514200031714088
0.0223551288963925,110.0,85.0,2.0,201.0,120.0,121.0,179.0,0.0223551288963925,0.0915208598949982,0.1675641635329016,0.0280095213170007,0.11245948309629963
0.0194361585836296,210.0,95.0,2.75,231.0,152.0,172.0,237.0,0.0869623590674388,0.1681762678055911,0.0194361585836296,0.1738860969219282,0.17642446422340433
0.0185442349821871,110.0,95.0,2.0,134.0,73.0,69.0,118.0,0.0592043334847436,0.0274275388935035,0.1109702809854347,0.0185442349821871,0.10026263241900411
0.0185089480865654,110.0,80.0,2.75,116.0,58.0,58.0,103.0,0.030713753612913,0.0742373724504326,0.4647602694591562,0.0185089480865654,0.21633385550834913
0.0180265374142066,200.0,90.0,2.5,298.0,216.0,235.0,306.0,0.1106480665374976,0.1475845025625924,0.0483730583537704,0.0180265374142066,0.123104256663358
0.017558672737354,140.0,90.0,2.75,128.0,73.0,72.0,128.0,0.0559158812390009,0.0812744924655744,0.1231961282969524,0.017558672737354,0.09431427438368453
0.0175571789917559,170.0,95.0,2.25,265.0,188.0,199.0,264.0,0.1161970908756321,0.0833388492537984,0.0933620454779421,0.0175571789917559,0.17598973317412395
0.0160433438864376,120.0,80.0,2.75,136.0,71.0,79.0,132.0,0.0412954448732034,0.0160433438864376,0.2017854556335179,0.0236469403630743,0.225134755524307
0.0158131462495775,180.0,95.0,2.5,225.0,153.0,170.0,243.0,0.1241225943954221,0.0730617780975787,0.0158131462495775,0.0548687500872515,0.1965671905873201
0.0144091757911222,170.0,80.0,2.75,266.0,180.0,193.0,262.0,0.0144091757911222,0.1258452237338732,0.038365829351044,0.0552436594414769,0.22391013974261792
0.0138130554431268,180.0,70.0,2.75,345.0,271.0,309.0,367.0,0.0138130554431268,0.106065086701585,0.0881930486409286,0.0168385464971207,0.14956066704196494
0.0136173936381293,210.0,50.0,2.75,644.0,562.0,600.0,692.0,0.0244118003467245,0.2364528208292548,0.0419521647152276,0.0136173936381293,0.0179885071291223
0.0131470331980726,110.0,85.0,2.5,112.0,57.0,59.0,105.0,0.0183203695214931,0.0840555377559648,0.4007704371584601,0.0131470331980726,0.15588916188317967
0.0124111173337738,150.0,95.0,2.75,127.0,76.0,75.0,121.0,0.0124111173337738,0.1145664180017044,0.2851076535689502,0.1272455534724678,0.2509864018873925
0.0111134614768216,170.0,95.0,2.0,359.0,267.0,288.0,353.0,0.0620787308840949,0.1470138511849021,0.0111134614768216,0.0435000587392642,0.14049970963784703
0.0110462020373779,220.0,50.0,2.75,662.0,572.0,614.0,704.0,0.0263825283760274,0.2337027842177135,0.0281838983537373,0.0110462020373779,0.024356120173480343
0.0106550839327963,160.0,85.0,2.75,206.0,135.0,138.0,200.0,0.0106550839327963,0.0645762622085224,0.1059080512057409,0.0876736180132485,0.15595033323206436
0.0105402831517924,240.0,50.0,2.75,689.0,591.0,634.0,725.0,0.0419919536055297,0.2053447460425995,0.0140995713935228,0.0105402831517924,0.013445474594491521
0.0102732413788454,200.0,50.0,2.75,627.0,552.0,590.0,672.0,0.0102732413788454,0.2293080590351933,0.0434354164829788,0.0105452091719392,0.02434385396964775
