maximize_value,long_ma_len,short_ma_len,std_dev_mult,pl_len_0,pl_len_1,pl_len_2,pl_len_3,pl_len_4,pl_len_5,pl_len_6,pl_len_7,pl_len_8,pl_len_9,pl_perc_0,pl_perc_1,pl_perc_2,pl_perc_3,pl_perc_4,pl_perc_5,pl_perc_6,pl_perc_7,pl_perc_8,pl_perc_9,pl_test_min,pl_test_len,pl_test_mean_perc
0.3058537592094447,43000.0,95.0,2.5,196.0,327.0,501.0,581.0,641.0,724.0,793.0,643.0,316.0,445.0,0.47518425979333906,0.3332903938493371,-0.6768766311560915,0.311175967206407,-0.36751599670055213,-0.14389537831639085,0.31529406897081674,1.4988705531673125,1.1842187273973679,0.12879162788290122,-0.26447411054200776,360.0,-0.26447411054200776
0.2966017990238251,41000.0,95.0,2.5,194.0,324.0,501.0,572.0,646.0,723.0,797.0,641.0,316.0,449.0,0.465122522085035,0.3427520276399253,-0.6822268610352082,0.1715617094199527,-0.3329140988581497,-0.14120395781642786,0.3976164585570195,1.406088752810722,1.1842187273973679,0.1550027100380148,-0.2377794156356129,389.0,-0.2377794156356129
0.29452229436562377,42000.0,95.0,2.5,196.0,325.0,501.0,582.0,645.0,723.0,793.0,641.0,316.0,444.0,0.4511658425673438,0.33583784806680594,-0.6867705659834386,0.21080770571922494,-0.34816157061360403,-0.14120395781642786,0.32110266004032556,1.481696730384685,1.1842187273973679,0.1365295238939553,-0.2537594270220996,377.0,-0.2537594270220996
0.2931100198359454,40000.0,95.0,2.5,188.0,325.0,502.0,570.0,641.0,723.0,794.0,634.0,316.0,448.0,0.45699680681939847,0.3443024355139532,-0.7006754559363693,0.1755062243854636,-0.3237994652710975,-0.14120395781642786,0.471232918200144,1.3113597518080775,1.1842187273973679,0.1531622132589438,-0.19583280260098399,409.0,-0.19583280260098399
0.29059374371939334,44000.0,95.0,2.5,198.0,324.0,501.0,579.0,640.0,724.0,793.0,634.0,316.0,445.0,0.46417310663329125,0.3310396281869579,-0.670640740807804,0.32038456887269057,-0.37171220382747494,-0.15806280311224166,0.31116535202694345,1.3757623461800075,1.1842187273973679,0.11960945564419515,-0.4013497643873569,324.0,-0.4013497643873569
0.2885159478952648,43000.0,85.0,2.5,217.0,381.0,578.0,624.0,659.0,758.0,818.0,674.0,348.0,492.0,0.4536811128847493,0.27188824508828513,-0.5914408521562345,0.2994164505915246,-0.34966792258632606,-0.03355082273163532,0.3028363459213824,1.3380681193274953,1.0990567911531313,0.09487201146027592,-0.2589690755039274,365.0,-0.2589690755039274
0.28738012972333216,37000.0,95.0,2.5,189.0,325.0,505.0,568.0,641.0,725.0,793.0,633.0,316.0,447.0,0.49427739407471905,0.37314062672011916,-0.7361341064037955,0.031445657794642624,-0.22229421426688012,-0.16447106153626986,0.49308755158546086,1.2739614658473588,1.1842187273973679,0.14656925602059892,-0.08822920154171708,473.0,-0.08822920154171708
0.2870867587498406,39000.0,95.0,2.5,189.0,325.0,504.0,575.0,642.0,723.0,793.0,634.0,316.0,447.0,0.46278780945723963,0.3667767416120567,-0.716089883335304,0.08846274927656428,-0.29764125749572595,-0.14120395781642786,0.491779605148084,1.281207834782742,1.1842187273973679,0.15056921847180965,-0.15251179425536968,422.0,-0.15251179425536968
0.2854403127393308,43000.0,95.0,2.75,177.0,315.0,499.0,580.0,642.0,724.0,792.0,643.0,306.0,439.0,0.3317078584852873,0.1945097156091244,-0.7120325550340612,0.33041813015425986,-0.3647826259896634,-0.14161431394135593,0.2978759626566593,1.4761345538777781,1.172751602255685,0.2694347993195947,-0.2814930072445598,356.0,-0.2814930072445598
0.2839577249875401,36000.0,95.0,2.5,189.0,325.0,501.0,567.0,638.0,728.0,795.0,628.0,318.0,446.0,0.5392970498330042,0.36981254474135905,-0.718175560662406,0.08753950039205347,-0.2555423014376095,-0.17080025054352835,0.4703794370073255,1.2128641278168673,1.1542696275893365,0.14993307513899873,-0.06711186156843037,485.0,-0.06711186156843037
0.283874628290654,42000.0,85.0,2.5,217.0,379.0,578.0,626.0,665.0,757.0,818.0,673.0,348.0,492.0,0.47089324889150075,0.2630879657559967,-0.5956475927457692,0.22670301469643922,-0.3402992556379542,-0.03080279906209874,0.30421213055440466,1.3348187719541351,1.0990567911531313,0.10672400734675459,-0.23491273139083987,384.0,-0.23491273139083987
0.2837157402229997,41000.0,85.0,2.5,215.0,378.0,578.0,613.0,669.0,757.0,823.0,670.0,348.0,495.0,0.47598511944036187,0.26573495451837165,-0.5959974911856752,0.17466291451206206,-0.3250073542235793,-0.03080279906209874,0.37985101578398434,1.2717858778121476,1.0990567911531313,0.12188837348129161,-0.2177764556838901,396.0,-0.2177764556838901
0.2832967723118509,44000.0,85.0,2.5,218.0,380.0,579.0,623.0,660.0,754.0,818.0,663.0,348.0,492.0,0.4748197034297934,0.2711433042101461,-0.5907149453920602,0.3166261906789557,-0.34878214004090613,-0.041862286659367955,0.3028363459213824,1.264852821254184,1.0990567911531313,0.08499193856325049,-0.40067316568531935,338.0,-0.40067316568531935
0.283190580975372,40000.0,85.0,2.5,208.0,379.0,579.0,612.0,663.0,757.0,820.0,660.0,348.0,494.0,0.4587576692905946,0.26834092513055896,-0.6083290718668205,0.17963870872532234,-0.3133114100420679,-0.03080279906209874,0.45838854629450826,1.1995262905692725,1.0990567911531313,0.12064015956131892,-0.1825246256017056,414.0,-0.1825246256017056
0.27782535037692246,38000.0,95.0,2.5,187.0,325.0,502.0,568.0,642.0,724.0,793.0,632.0,316.0,447.0,0.4802618736579562,0.37314062672011916,-0.7243946399512717,-0.021880791828153494,-0.2811989176060862,-0.14389537831639085,0.491779605148084,1.2746243925764134,1.1842187273973679,0.14559800597118627,-0.09076283079217967,449.0,-0.09076283079217967
0.277207002636534,43000.0,95.0,2.25,207.0,342.0,503.0,582.0,642.0,724.0,793.0,643.0,328.0,448.0,0.3571048228081218,0.3353242213219391,-0.5942168753720514,0.25954026623801196,-0.3632201918316013,-0.14060524919209982,0.329787024020719,1.4912666520488274,0.9916795351030769,0.10540982122039619,-0.22280915132662904,362.0,-0.22280915132662904
0.2747894213815413,44000.0,95.0,2.75,177.0,314.0,499.0,578.0,641.0,724.0,792.0,634.0,306.0,439.0,0.3561603324492258,0.2007158825956886,-0.7107056040179445,0.3397377338434361,-0.36680139851993826,-0.155802252771198,0.2978759626566593,1.3513210127775783,1.172751602255685,0.26264094254622095,-0.40878909102094957,321.0,-0.40878909102094957
0.2742699186505773,43000.0,90.0,2.5,211.0,359.0,545.0,605.0,653.0,737.0,812.0,653.0,325.0,465.0,0.48813808771189326,0.32434087804262496,-0.6286141794228786,0.3070609520580258,-0.39563280879723023,-0.1358705643324938,0.3000121966367414,1.3034011194118396,1.09011353787072,0.08974996732653058,-0.2700956052947276,338.0,-0.2700956052947276
0.2737692774530988,37000.0,85.0,2.5,209.0,379.0,580.0,598.0,662.0,756.0,819.0,660.0,348.0,493.0,0.4931471925848388,0.2951844539523497,-0.6564103638305893,0.02528664281962284,-0.21022201051907174,-0.049179329620784626,0.47261529250436946,1.1501314819191502,1.0990567911531313,0.1180826235679713,-0.07957895687770133,483.0,-0.07957895687770133
0.2729798577207686,39000.0,85.0,2.5,209.0,379.0,580.0,608.0,662.0,757.0,819.0,662.0,348.0,494.0,0.4660712445951771,0.28432303855681024,-0.6200059217100636,0.06488363282978243,-0.28779097055262765,-0.03080279906209874,0.47261529250436946,1.1612979652912165,1.0990567911531313,0.12015030360198918,-0.15348943265222117,427.0,-0.15348943265222117
