maximize_value,long_ma_len,short_ma_len,std_dev_mult,pl_len_0,pl_len_1,pl_len_2,pl_len_3,pl_perc_0,pl_perc_1,pl_perc_2,pl_perc_3,pl_perc_mean_test
0.1638768660228534,100.0,85.0,2.75,49.0,64.0,79.0,35.0,0.4238477049998315,0.173651060521022,0.1638768660228534,0.2062614600416445,0.47162293858247406
0.158492868663167,100.0,80.0,2.75,65.0,77.0,95.0,43.0,0.2414561568501235,0.168709374975853,0.158492868663167,0.2192332809419982,0.41691361747373107
0.1508577455684267,100.0,65.0,2.75,133.0,147.0,175.0,114.0,0.3490656624165799,0.1925560568957,0.1508577455684267,0.2167907954543563,0.1981957808561962
0.1493391700680691,100.0,75.0,2.75,79.0,94.0,108.0,53.0,0.2964721429735605,0.2575455109829522,0.1493391700680691,0.1792965939447291,0.29268037209655623
0.1459961367885157,190.0,95.0,2.5,201.0,238.0,250.0,173.0,0.5529051344805491,0.1732689629864101,0.1459961367885157,0.1490643961222511,-0.034726962160105075
0.1451756664519818,210.0,95.0,2.25,317.0,358.0,344.0,278.0,0.5526603839935524,0.15998971120532,0.1451756664519818,0.1726833854790337,-0.046245959755797234
0.1416955135851646,190.0,90.0,2.5,223.0,268.0,280.0,198.0,0.509216349356569,0.1430810440402161,0.1416955135851646,0.1434005786753133,0.007292658682569851
0.1392061216676398,220.0,95.0,2.5,248.0,303.0,297.0,228.0,0.6448953846210613,0.2183637741275421,0.1392061216676398,0.1493519182291111,-0.06089657788209625
0.1384223779537907,230.0,95.0,2.5,256.0,312.0,322.0,244.0,0.6545854074128186,0.2016853156234373,0.1404771875502395,0.1384223779537907,-0.09082487286521704
0.1369242730883452,220.0,95.0,2.25,332.0,383.0,362.0,301.0,0.5875906066369906,0.1760224254942738,0.1369242730883452,0.1525671297323764,-0.08938321328565257
0.1336865513692168,190.0,95.0,2.25,278.0,306.0,311.0,240.0,0.5112152926952332,0.1336865513692168,0.158467464315706,0.1747047496129249,-0.04965000884741092
0.1329296116605778,100.0,75.0,2.5,103.0,120.0,132.0,76.0,0.2666498360264681,0.1577862402819946,0.1329296116605778,0.244107922085268,0.27822712154621376
0.1323968929398431,200.0,95.0,2.25,293.0,332.0,335.0,261.0,0.5251615039363635,0.1454790565006397,0.1323968929398431,0.1708080326505355,-0.02713336750749342
0.1323756123451044,230.0,95.0,2.25,341.0,393.0,385.0,323.0,0.5798576065812727,0.1751109272894327,0.1323756123451044,0.1683182280419974,-0.10873042168062304
0.1310837195688036,230.0,90.0,2.5,281.0,341.0,344.0,269.0,0.5555322201075279,0.1633560194256146,0.1310837195688036,0.1620884734496506,-0.055858156400325605
