maximize_value,long_ma_len,short_ma_len,std_dev_mult,pl_len_0,pl_len_1,pl_len_2,pl_len_3,pl_len_4,pl_len_5,pl_len_6,pl_len_7,pl_len_8,pl_perc_0,pl_perc_1,pl_perc_2,pl_perc_3,pl_perc_4,pl_perc_5,pl_perc_6,pl_perc_7,pl_perc_8,pl_test_min,pl_test_len,pl_test_mean_perc
0.1514030266781067,24000.0,75.0,2.0,260.0,296.0,484.0,535.0,373.0,481.0,336.0,305.0,329.0,-0.235148048126828,0.19402594293943737,0.42212820319698346,0.37462915776294087,0.11190432850516796,0.29807921964943535,0.21260028794498464,3.7029527329126885e-05,-0.015628881296490104,-0.0003031633137778341,371.0,-0.0003031633137778341
0.15084735303506863,25000.0,75.0,2.0,265.0,289.0,484.0,536.0,372.0,481.0,336.0,308.0,327.0,-0.2793724526498591,0.204044867101066,0.41886961759464264,0.37351785387870423,0.11247872938496821,0.29541174760286626,0.21260028794498464,0.017270340858976906,0.0028051855992678432,0.019246055870397013,361.0,0.019246055870397013
0.14796880224536976,24000.0,80.0,2.0,249.0,274.0,453.0,508.0,355.0,472.0,322.0,287.0,305.0,-0.2855816843933115,0.1962917622468197,0.4338724981053848,0.35099538214186976,0.11363943027405507,0.30827535899989633,0.20380842663753357,0.027242564929273592,-0.016824518733193437,0.015178726320023934,349.0,0.015178726320023934
0.14667042994651178,25000.0,80.0,2.0,254.0,269.0,453.0,509.0,354.0,472.0,322.0,290.0,303.0,-0.33141989094833796,0.20373336529252847,0.4306571062836621,0.34967214230549337,0.11548204755463486,0.30598959823592814,0.20380842663753357,0.0393536104945961,0.0027574636625673672,0.026194771963858464,339.0,0.026194771963858464
0.1444849566442898,26000.0,80.0,2.0,248.0,276.0,453.0,510.0,352.0,473.0,322.0,294.0,297.0,-0.33425011246775505,0.1984472005800438,0.4274521829806017,0.3499986589008644,0.12191093700248279,0.28859053047560346,0.20380842663753357,0.043937318700240285,0.00046946698899332645,0.024614356005763883,332.0,0.024614356005763883
0.14307707288706797,27000.0,80.0,2.0,247.0,279.0,453.0,510.0,352.0,470.0,322.0,296.0,301.0,-0.33163604404969343,0.1743078416543814,0.4274521829806017,0.349392585893321,0.11936171571552529,0.2837367964299934,0.20380842663753357,0.048188261568083424,0.013081889153865404,0.015339079794635706,330.0,0.015339079794635706
0.14240237062140798,26000.0,75.0,2.0,257.0,296.0,484.0,537.0,370.0,481.0,336.0,313.0,320.0,-0.34258500470246894,0.1978832523509495,0.41886961759464264,0.37402470731849474,0.1193867090163472,0.27902519627785927,0.21260028794498464,0.02127418997550124,0.0011423798163612306,0.01657243888153549,352.0,0.01657243888153549
0.14204520604163198,27000.0,75.0,2.0,257.0,298.0,484.0,537.0,370.0,479.0,336.0,314.0,326.0,-0.3390874687940386,0.1722971516925549,0.41886961759464264,0.3730605833452617,0.11697098953451779,0.2743795062175221,0.21260028794498464,0.035068684399581294,0.01424750243966137,0.008265890619872162,350.0,0.008265890619872162
0.14004653712039564,24000.0,85.0,2.0,233.0,254.0,433.0,485.0,332.0,445.0,292.0,275.0,287.0,-0.38746995666559697,0.22638333623712717,0.4189577814138064,0.3724923623167944,0.116475503648315,0.3157168621190504,0.18429892177552115,-0.01852992093505127,0.03209394417359463,0.058624885795443886,325.0,0.058624885795443886
0.13889108200032318,25000.0,85.0,2.0,238.0,248.0,433.0,486.0,330.0,445.0,292.0,277.0,283.0,-0.43238897185041547,0.23267542810291925,0.4139629977621568,0.37198180995540314,0.11836430025085568,0.3116710688471522,0.18429892177552115,0.002209128664694831,0.04724505449462098,0.07047929027218458,314.0,0.07047929027218458
0.1374553123405865,32000.0,75.0,2.0,269.0,296.0,479.0,536.0,370.0,472.0,336.0,313.0,325.0,-0.24242826258502204,0.11823603060302405,0.41284679905940325,0.3392716458732445,0.10509957768035318,0.25851361404158035,0.21260028794498464,0.03257184479794227,0.0003862736497685619,-0.014310876827637825,302.0,-0.014310876827637825
0.13696572824043618,26000.0,85.0,2.0,234.0,253.0,433.0,488.0,330.0,446.0,292.0,281.0,278.0,-0.43322729354019657,0.22792796349698413,0.40897085265247884,0.37324260640202084,0.12473377575886863,0.2916251263565666,0.18429892177552115,0.00765228943802873,0.04746731182365347,0.06909737205097662,306.0,0.06909737205097662
0.1356428227092783,32000.0,80.0,2.0,256.0,274.0,448.0,509.0,351.0,462.0,322.0,296.0,302.0,-0.23545076979209034,0.10443382619076148,0.4291120058383499,0.3193957309787008,0.10142268698010164,0.2719890791836953,0.20380842663753357,0.02626316140537375,-0.00018874303892129352,-0.010139327554218872,287.0,-0.010139327554218872
0.1355433448031858,24000.0,65.0,2.0,301.0,334.0,527.0,600.0,415.0,532.0,376.0,359.0,384.0,-0.2953378586768822,0.2017140245759688,0.3997274247686049,0.3281182623560037,0.0686757581683779,0.26426008433945225,0.1702329540246348,0.06158096569471448,0.020918487977797613,0.029008853811492194,436.0,0.029008853811492194
0.13542537486936526,27000.0,85.0,2.0,233.0,256.0,433.0,488.0,330.0,442.0,292.0,283.0,282.0,-0.43009817245314375,0.2027885396432,0.40897085265247884,0.37224156869057307,0.12474320552178789,0.2826825700135557,0.18429892177552115,0.010487452473731493,0.06271343550658301,0.05924027800651901,304.0,0.05924027800651901
0.1350904917373567,24000.0,75.0,2.75,180.0,207.0,341.0,360.0,236.0,310.0,169.0,183.0,206.0,-0.25482601606831284,0.02986438077281722,0.5081807834979114,0.46922140337076973,0.08084042378415797,0.386933714957794,0.1828668286971073,-0.1577144668473588,-0.029552626528675633,0.06329994910322642,233.0,0.06329994910322642
0.13393439871750645,31000.0,75.0,2.0,272.0,294.0,482.0,536.0,373.0,472.0,336.0,316.0,328.0,-0.28502795032643846,0.1000571731518813,0.4183075437574906,0.35488868527675593,0.10903845677970832,0.25876959414434214,0.21260028794498464,0.035929908946966134,0.0008458887818673882,-0.009584162447448889,313.0,-0.009584162447448889
0.1323959227916762,35000.0,85.0,2.0,243.0,256.0,429.0,487.0,327.0,438.0,292.0,279.0,279.0,-0.3125824002773704,0.1319543952303962,0.4280576298185377,0.32714073737608595,0.14566125603674335,0.26940032674847697,0.18429892177552115,-0.014815703487557829,0.03244814190425267,-0.023798031376013298,236.0,-0.023798031376013298
0.1323879064818043,32000.0,85.0,2.0,243.0,254.0,427.0,487.0,329.0,436.0,292.0,283.0,283.0,-0.3077583648626316,0.12594529394431053,0.4222526319892089,0.33977378538369923,0.11334356948063982,0.27081308312445146,0.18429892177552115,-0.005892854817112001,0.048715092318151194,0.03760338431399085,261.0,0.03760338431399085
0.13232138319716424,33000.0,75.0,2.0,269.0,300.0,479.0,536.0,373.0,475.0,336.0,308.0,319.0,-0.2808453365852101,0.11950924356445591,0.4129223079644932,0.3392716458732445,0.11977357737371946,0.25864188966244434,0.21260028794498464,0.019991885174804835,-0.01097305219845867,-0.028262838880736947,287.0,-0.028262838880736947
0.13174098852038008,36000.0,85.0,2.0,243.0,258.0,429.0,489.0,327.0,437.0,292.0,282.0,277.0,-0.35100410637572743,0.13842565616115432,0.4280576298185377,0.3287982918118773,0.1512397801965112,0.2794541989989822,0.18429892177552115,-0.011275061365713084,0.03767358566227767,-0.03120080129710748,228.0,-0.03120080129710748
0.1316493671289042,28000.0,75.0,2.0,258.0,294.0,484.0,537.0,375.0,479.0,336.0,316.0,325.0,-0.3538843556043971,0.12957651511964394,0.41886961759464264,0.37302512503256635,0.11288133123521871,0.2543791917821344,0.21260028794498464,0.0223684589846782,0.015028132070666153,-0.005162374792699615,341.0,-0.005162374792699615
0.13145794974861905,31000.0,80.0,2.0,257.0,269.0,452.0,509.0,354.0,462.0,322.0,298.0,303.0,-0.283734739806603,0.0879934145720795,0.43491826602623057,0.3354514051360663,0.10557410037903114,0.27226378308481447,0.20380842663753357,0.027466544525832647,-0.0006196528174138001,-0.004204685262121522,296.0,-0.004204685262121522
0.1313435280381058,25000.0,75.0,2.75,185.0,202.0,342.0,363.0,236.0,308.0,169.0,185.0,203.0,-0.33558607118763506,0.03245030668877132,0.5033805909606972,0.4732699806535156,0.0855055364373656,0.38099293931227846,0.1828668286971073,-0.1337496035374001,-0.007038755681748008,0.06620956393232912,227.0,0.06620956393232912
0.13123060464747766,28000.0,80.0,2.0,248.0,276.0,453.0,510.0,357.0,470.0,322.0,298.0,300.0,-0.34869632729411715,0.12888913591881146,0.4274521829806017,0.34935974799788505,0.11539421828912735,0.2635808414909994,0.20380842663753357,0.028310553056140886,0.012976662750316541,-8.195153626857603e-05,320.0,-8.195153626857603e-05
