maximize_value,long_ma_len,short_ma_len,std_dev_mult,pl_len_0,pl_len_1,pl_len_2,pl_len_3,pl_len_4,pl_len_5,pl_len_6,pl_perc_0,pl_perc_1,pl_perc_2,pl_perc_3,pl_perc_4,pl_perc_5,pl_perc_6,pl_test_min,pl_test_len,pl_test_mean_perc
0.46907001725453784,37000.0,95.0,2.75,165.0,151.0,170.0,186.0,160.0,153.0,187.0,0.4483249715165747,0.4580220065238048,0.6407995859596964,0.4964377090184018,0.5119871356380139,0.2632276483595977,0.46469106376567604,0.3956924502929797,93.0,0.3956924502929797
0.4685357722069865,38000.0,95.0,2.75,165.0,152.0,169.0,186.0,160.0,154.0,187.0,0.4438576403452046,0.46265581806913286,0.6406292387008721,0.4964377090184018,0.5119871356380139,0.25949179991160365,0.46469106376567604,0.4024538677831042,91.0,0.4024538677831042
0.4677552280105886,31000.0,95.0,2.75,165.0,150.0,169.0,185.0,160.0,155.0,186.0,0.5149071183917578,0.4140427588706341,0.6215230533404352,0.5071857915338922,0.5119871356380139,0.25007021449500977,0.4545705238043771,0.4297186465308029,140.0,0.4297186465308029
0.4676553356099323,39000.0,95.0,2.75,165.0,149.0,170.0,186.0,160.0,154.0,187.0,0.4438576403452046,0.45938567176748957,0.6397003954163332,0.4964377090184018,0.5119871356380139,0.25752773331840656,0.46469106376567604,0.44939892325314856,85.0,0.44939892325314856
0.46704241712801703,34000.0,95.0,2.75,166.0,148.0,170.0,186.0,160.0,153.0,186.0,0.4847258904007578,0.44185941917249966,0.6254412511151983,0.5008850077187251,0.5119871356380139,0.24528261731854295,0.45911559853238093,0.4275188435604379,113.0,0.4275188435604379
0.4665592372228882,35000.0,95.0,2.75,166.0,147.0,167.0,186.0,160.0,151.0,186.0,0.4670924713415614,0.45413269728624883,0.6221247956085973,0.5008850077187251,0.5119871356380139,0.2505769544346898,0.45911559853238093,0.4232332912204256,107.0,0.4232332912204256
0.4657247621056556,36000.0,95.0,2.75,165.0,150.0,170.0,186.0,160.0,152.0,187.0,0.44934605937426203,0.4535470766706318,0.6331043895203355,0.4964377090184018,0.5119871356380139,0.25449151078884147,0.4611594537291025,0.4094399916511658,102.0,0.4094399916511658
0.4645991528257632,30000.0,95.0,2.75,165.0,150.0,168.0,185.0,160.0,150.0,186.0,0.5166687037794062,0.42634028974088306,0.6084672390726207,0.5071857915338922,0.5119871356380139,0.22827260345459222,0.453272306560934,0.4288205121352454,147.0,0.4288205121352454
0.4641018762419154,40000.0,95.0,2.75,165.0,148.0,170.0,186.0,160.0,152.0,187.0,0.4349849535029807,0.4683188431169941,0.6368793124329026,0.4964377090184018,0.5119871356380139,0.2354141162184385,0.46469106376567604,0.4684757684291085,78.0,0.4684757684291085
0.46286506930367277,33000.0,95.0,2.75,167.0,149.0,171.0,186.0,160.0,153.0,186.0,0.48255779116572706,0.41738736536109344,0.6255672975978419,0.5008850077187251,0.5119871356380139,0.24357432736096238,0.45809656028334594,0.4272842218906779,124.0,0.4272842218906779
