maximize_value,long_ma_len,short_ma_len,std_dev_mult,pl_len_0,pl_len_1,pl_perc_0,pl_perc_1,pl_test_min,pl_test_len,pl_test_mean_perc
0.3480370637126058,24000.0,65.0,2.75,215.0,206.0,0.5571645509835721,0.13890957644163948,0.08127435082019982,349.0,0.08127435082019982
0.33913641695463403,24000.0,70.0,2.75,201.0,194.0,0.5122679121041633,0.16600492180510468,0.06463239789391033,324.0,0.06463239789391033
0.3337911650876987,24000.0,75.0,2.75,195.0,174.0,0.48976318641943933,0.1778191437559581,0.15033336486830623,297.0,0.15033336486830623
0.32403153808079954,25000.0,75.0,2.75,194.0,174.0,0.47024393240564105,0.1778191437559581,0.1136245875399817,292.0,0.1136245875399817
0.31922958872547125,25000.0,70.0,2.75,200.0,194.0,0.47245425564583776,0.16600492180510468,0.02563721045008926,317.0,0.02563721045008926
0.3109906453588691,26000.0,75.0,2.75,194.0,174.0,0.4441621469617801,0.1778191437559581,-0.013961777912557786,285.0,-0.013961777912557786
0.3101368663545001,27000.0,75.0,2.75,194.0,174.0,0.4464784022286956,0.17379533048030463,-0.05417742374817111,281.0,-0.05417742374817111
0.3084371469507514,26000.0,70.0,2.75,200.0,194.0,0.45086937209639816,0.16600492180510468,-0.07714124718519534,310.0,-0.07714124718519534
0.30788789539845607,25000.0,65.0,2.75,216.0,206.0,0.4768662143552726,0.13890957644163948,0.0344907531965752,340.0,0.0344907531965752
0.30133254435293977,30000.0,75.0,2.75,192.0,172.0,0.4301021354866223,0.17256295321925724,-0.06332092568572323,256.0,-0.06332092568572323
0.300003193281857,28000.0,75.0,2.75,194.0,174.0,0.43264315784951834,0.1673632287141956,-0.0650354659886918,276.0,-0.0650354659886918
0.2975035277148306,26000.0,65.0,2.75,216.0,206.0,0.4560974789880217,0.13890957644163948,-0.09150587248980685,333.0,-0.09150587248980685
0.2927975768651042,29000.0,75.0,2.75,195.0,171.0,0.43031602603513025,0.1552791276950782,-0.000238305190068722,267.0,-0.000238305190068722
0.2900261579600544,27000.0,70.0,2.75,200.0,194.0,0.426522316380319,0.1535299995397897,-0.12212170282606158,304.0,-0.12212170282606158
0.2833048508682449,30000.0,70.0,2.75,198.0,194.0,0.4031457229283707,0.16346397880811916,-0.14621129668847588,278.0,-0.14621129668847588
0.28195013904639427,28000.0,70.0,2.75,200.0,194.0,0.41530446795686227,0.1485958101359263,-0.12167070251962872,300.0,-0.12167070251962872
0.2759781682669957,24000.0,80.0,2.75,185.0,158.0,0.3638976817559032,0.18805865477808822,0.09939012452424136,268.0,0.09939012452424136
0.2746859425295012,29000.0,70.0,2.75,201.0,192.0,0.40603740783273007,0.14333447722627235,-0.07876081202822303,289.0,-0.07876081202822303
0.2733896213021665,31000.0,75.0,2.75,193.0,169.0,0.40911763180352606,0.13766161080080686,-0.11185008743754292,248.0,-0.11185008743754292
0.2696470457307994,25000.0,30.0,2.75,433.0,430.0,0.33152923023433534,0.20776486122726345,0.16344925245394176,686.0,0.16344925245394176
0.26835699146464265,24000.0,30.0,2.75,431.0,430.0,0.3289491217020219,0.20776486122726345,0.16879526780236442,701.0,0.16879526780236442
0.26833613196559986,26000.0,30.0,2.75,431.0,430.0,0.32890740270393626,0.20776486122726345,0.1615321280693578,673.0,0.1615321280693578
0.2681170965982135,27000.0,65.0,2.75,217.0,206.0,0.41418147250526754,0.12205272069115941,-0.15391366150962962,326.0,-0.15391366150962962
0.26672351641725794,30000.0,65.0,2.75,215.0,205.0,0.395177217241834,0.13826981559268187,-0.19081303038358446,298.0,-0.19081303038358446
0.26562668359966535,25000.0,80.0,2.75,184.0,158.0,0.3431947124212425,0.18805865477808822,0.06919517319522836,263.0,0.06919517319522836
0.2636827312546266,27000.0,30.0,2.75,428.0,430.0,0.3222578918521688,0.20510757065708435,0.1470024521235147,659.0,0.1470024521235147
0.2634400876948661,26000.0,80.0,2.75,184.0,158.0,0.33882152061164394,0.18805865477808822,-0.003204763305484278,256.0,-0.003204763305484278
0.2628967368512431,28000.0,65.0,2.75,217.0,206.0,0.40966939489715837,0.11612407880532778,-0.16250776312929,321.0,-0.16250776312929
0.26284259151032574,27000.0,80.0,2.75,184.0,158.0,0.3419019366657059,0.18378324635494558,-0.029345752204972476,251.0,-0.029345752204972476
0.2601118360344389,28000.0,30.0,2.75,427.0,431.0,0.3152710725723771,0.20495259949650063,0.1384701579927885,646.0,0.1384701579927885
0.25776964143014025,30000.0,30.0,2.75,434.0,431.0,0.29812936481575686,0.21740991804452361,0.1449640732942064,612.0,0.1449640732942064
0.2574476402622549,29000.0,65.0,2.75,218.0,204.0,0.39896458908609406,0.11593069143841578,-0.13748786767113744,309.0,-0.13748786767113744
0.25624108008893853,29000.0,30.0,2.75,435.0,426.0,0.3094831156122419,0.20299904456563522,0.1490221918875825,624.0,0.1490221918875825
