maximize_value,long_ma_len,short_ma_len,std_dev_mult,pl_len_0,pl_len_1,pl_len_2,pl_perc_0,pl_perc_1,pl_perc_2,pl_test_min,pl_test_len,pl_test_mean_perc
0.14140268923693525,24000.0,55.0,2.75,202.0,208.0,218.0,0.1805258554765617,0.14180983932820562,0.10187237290603848,0.10817085236822445,183.0,0.10817085236822445
0.1398611396103089,26000.0,55.0,2.75,204.0,214.0,221.0,0.19266305311411447,0.1211402014113906,0.10578016430542173,0.09399436612973906,171.0,0.09399436612973906
0.13653012252297747,26000.0,50.0,2.75,231.0,228.0,244.0,0.24947727905427303,0.08065010027400392,0.07946298824065544,0.08198468536199081,191.0,0.08198468536199081
0.1344680371967897,25000.0,55.0,2.75,203.0,211.0,219.0,0.18128761553823317,0.11916516807109787,0.10295132798103812,0.11162152416951468,178.0,0.11162152416951468
0.12681819350810297,24000.0,50.0,2.75,229.0,221.0,242.0,0.23015305517498463,0.0744540821417404,0.07584744320758383,0.08392948444451469,205.0,0.08392948444451469
0.12481437821966923,25000.0,50.0,2.75,229.0,226.0,243.0,0.22903941847044643,0.06931530567936192,0.07608841050919937,0.10916819187631167,200.0,0.10916819187631167
0.11988102671778356,38000.0,90.0,2.75,112.0,137.0,135.0,0.29401892529509266,0.470895481294005,-0.4052713264357469,-0.34568930868712333,55.0,-0.34568930868712333
0.11938153185564974,39000.0,90.0,2.75,112.0,137.0,134.0,0.29401892529509266,0.470895481294005,-0.4067698110221484,-0.09421559937468674,49.0,-0.09421559937468674
0.11813418177164732,43000.0,90.0,2.75,112.0,138.0,137.0,0.29401892529509266,0.42088558452049896,-0.36050196450064964,-0.017391294581702382,32.0,-0.017391294581702382
0.11778976169561343,44000.0,90.0,2.75,112.0,138.0,137.0,0.29401892529509266,0.42088558452049896,-0.3615352247287513,-0.14480184221204098,28.0,-0.14480184221204098
0.11768460391098658,45000.0,90.0,2.75,112.0,138.0,137.0,0.29401892529509266,0.42088558452049896,-0.36185069808263187,0.0077093751084728185,23.0,0.0077093751084728185
0.11710611689519966,42000.0,90.0,2.75,112.0,138.0,138.0,0.29401892529509266,0.42088558452049896,-0.36358615912999265,0.15875249652014112,39.0,0.15875249652014112
0.11695032896815961,37000.0,90.0,2.75,112.0,137.0,135.0,0.29401892529509266,0.4694845997709528,-0.4126525381615666,-0.3801920769068978,58.0,-0.3801920769068978
0.11176591958147693,34000.0,90.0,2.75,112.0,133.0,138.0,0.29401892529509266,0.46587423631734753,-0.42459540286800945,-0.42944672734879413,77.0,-0.42944672734879413
0.10818285767094017,36000.0,90.0,2.75,112.0,136.0,133.0,0.29401892529509266,0.46839562028591725,-0.4378659725681893,-0.3503189342773155,61.0,-0.3503189342773155
