maximize_value,long_ma_len,short_ma_len,std_dev_mult,pl_len_0,pl_len_1,pl_len_2,pl_perc_0,pl_perc_1,pl_perc_2,pl_test_min,pl_test_len,pl_test_mean_perc
-3.865073639530239,43000.0,20.0,2.0,3304.0,1945.0,1451.0,-0.7752731170808482,-10.253591144033793,-0.5663566574760769,-0.06322827883491827,1077.0,-0.06322827883491827
-3.8694785720030964,47000.0,20.0,2.0,3302.0,1934.0,1458.0,-1.5825034155815882,-9.445973899784113,-0.579958400643589,0.09024109203769318,895.0,0.09024109203769318
-3.882713545079722,43000.0,20.0,2.25,3304.0,1941.0,1446.0,-0.7752731170808482,-10.30170373804842,-0.5711637801098979,-0.0597922254712408,1076.0,-0.0597922254712408
-3.8862326612456557,47000.0,20.0,2.25,3302.0,1930.0,1454.0,-1.5825034155815882,-9.48945643108114,-0.5867381370742395,0.09260212787355324,893.0,0.09260212787355324
-3.9229009941900777,47000.0,20.0,2.5,3302.0,1927.0,1451.0,-1.5825034155815882,-9.611367955335384,-0.5748316116532611,0.08840369983217908,893.0,0.08840369983217908
-3.923695922229991,43000.0,20.0,2.5,3304.0,1938.0,1443.0,-0.7752731170808482,-10.433100138641596,-0.5627145109675291,-0.05849666953790807,1076.0,-0.05849666953790807
-3.934500614939115,45000.0,20.0,2.0,3306.0,1931.0,1452.0,-1.492980599553211,-9.768481283305556,-0.5420399619585784,-0.14051889675973345,977.0,-0.14051889675973345
-3.9462040599425108,46000.0,20.0,2.0,3311.0,1931.0,1454.0,-1.5370429485254289,-9.75083043299824,-0.5507387983038622,0.07383013203511632,949.0,0.07383013203511632
-3.9475883123192497,47000.0,20.0,2.75,3302.0,1921.0,1449.0,-1.5825034155815882,-9.676041409730496,-0.5842201116456648,0.08697602456684207,893.0,0.08697602456684207
-3.9495488290719654,43000.0,20.0,2.75,3304.0,1932.0,1441.0,-0.7752731170808482,-10.503170589718017,-0.5702027804170309,-0.06507196259685859,1076.0,-0.06507196259685859
-3.951754741847621,45000.0,20.0,2.25,3306.0,1927.0,1448.0,-1.492980599553211,-9.814058030319135,-0.5482255956705155,-0.13479160363742676,975.0,-0.13479160363742676
-3.9560292368931265,44000.0,20.0,2.0,3338.0,1932.0,1450.0,-1.2712210742966294,-10.052527474153905,-0.544339162228844,-0.10786813748664922,1026.0,-0.10786813748664922
-3.963453420938329,46000.0,20.0,2.25,3311.0,1927.0,1450.0,-1.5370429485254289,-9.796293456014144,-0.557023858275415,0.07986310637337217,947.0,0.07986310637337217
-3.9737365804177505,44000.0,20.0,2.25,3338.0,1928.0,1445.0,-1.2712210742966294,-10.099677714608937,-0.5503109523476849,-0.10390444674457887,1025.0,-0.10390444674457887
-3.990450369880641,45000.0,20.0,2.5,3306.0,1924.0,1445.0,-1.492980599553211,-9.940446199130507,-0.5379243109582038,-0.138758064930595,975.0,-0.138758064930595
-4.0018600057062965,46000.0,20.0,2.5,3311.0,1924.0,1447.0,-1.5370429485254289,-9.922439425625875,-0.5460976429675868,0.07652994803163465,947.0,0.07652994803163465
-4.013163837272693,44000.0,20.0,2.5,3338.0,1925.0,1442.0,-1.2712210742966294,-10.229242664470013,-0.5390277730514377,-0.1040094507443626,1025.0,-0.1040094507443626
-4.015452513671645,45000.0,20.0,2.75,3306.0,1918.0,1443.0,-1.492980599553211,-10.007648740973982,-0.5457282004877382,-0.14409974619733143,975.0,-0.14409974619733143
-4.027045913539315,46000.0,20.0,2.75,3311.0,1918.0,1445.0,-1.5370429485254289,-9.989505040254317,-0.5545897518381996,0.07204470253265521,947.0,0.07204470253265521
